generations,Ne
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,10000.0
30,10000.0
31,10000.0
32,10000.0
33,10000.0
34,10000.0
35,10000.0
36,10000.0
37,10000.0
38,10000.0
39,10000.0
40,10000.0
41,10000.0
42,10000.0
43,10000.0
44,10000.0
45,10000.0
46,10000.0
47,10000.0
48,10000.0
49,10000.0
50,10000.0
51,10000.0
52,10000.0
53,10000.0
54,10000.0
55,10000.0
56,10000.0
57,10000.0
58,10000.0
59,10000.0
60,10000.0
61,10000.0
62,10000.0
63,10000.0
64,10000.0
65,10000.0
66,10000.0
67,10000.0
68,10000.0
69,10000.0
70,10000.0
71,10000.0
72,10000.0
73,10000.0
74,10000.0
75,10000.0
76,10000.0
77,10000.0
78,10000.0
79,10000.0
80,10000.0
81,10000.0
82,10000.0
83,10000.0
84,10000.0
85,10000.0
86,10000.0
87,10000.0
88,10000.0
89,10000.0
90,10000.0
91,10000.0
92,10000.0
93,10000.0
94,10000.0
95,10000.0
96,10000.0
97,10000.0
98,10000.0
99,10000.0
100,10000.0
101,10000.0
102,10000.0
103,10000.0
104,10000.0
105,10000.0
106,10000.0
107,10000.0
108,10000.0
109,10000.0
110,10000.0
111,10000.0
112,10000.0
113,10000.0
114,10000.0
115,10000.0
116,10000.0
117,10000.0
118,10000.0
119,10000.0
120,10000.0
121,10000.0
122,10000.0
123,10000.0
124,10000.0
125,10000.0
126,10000.0
127,10000.0
128,10000.0
129,10000.0
130,10000.0
131,10000.0
132,10000.0
133,10000.0
134,10000.0
135,10000.0
136,10000.0
137,10000.0
138,10000.0
139,10000.0
140,10000.0
141,10000.0
142,10000.0
143,10000.0
144,10000.0
145,10000.0
146,10000.0
147,10000.0
148,10000.0
149,10000.0
150,10000.0
151,10000.0
152,10000.0
153,10000.0
154,10000.0
155,10000.0
156,10000.0
157,10000.0
158,10000.0
159,10000.0
160,10000.0
161,10000.0
162,10000.0
163,10000.0
164,10000.0
165,10000.0
166,10000.0
167,10000.0
168,10000.0
169,10000.0
170,10000.0
171,10000.0
172,10000.0
173,10000.0
174,10000.0
175,10000.0
176,10000.0
177,10000.0
178,10000.0
179,10000.0
180,10000.0
181,10000.0
182,10000.0
183,10000.0
184,10000.0
185,10000.0
186,10000.0
187,10000.0
188,10000.0
189,10000.0
190,10000.0
191,10000.0
192,10000.0
193,10000.0
194,10000.0
195,10000.0
196,10000.0
197,10000.0
198,10000.0
199,10000.0
200,10000.0
201,9772.372209558107
202,9549.92586021436
203,9332.54300796991
204,9120.108393559098
205,8912.509381337455
206,8709.635899560806
207,8511.380382023764
208,8317.63771102671
209,8128.305161640993
210,7943.2823472428145
211,7762.471166286918
212,7585.7757502918375
213,7413.102413009175
214,7244.359600749901
215,7079.457843841379
216,6918.309709189365
217,6760.829753919818
218,6606.93448007596
219,6456.542290346555
220,6309.573444801932
221,6165.950018614822
222,6025.595860743578
223,5888.43655355589
224,5754.39937337157
225,5623.413251903491
226,5495.408738576246
227,5370.317963702528
228,5248.074602497726
229,5128.61383991365
230,5011.872336272723
231,4897.788193684462
232,4786.300923226384
233,4677.351412871983
234,4570.8818961487505
235,4466.835921509631
236,4365.1583224016595
237,4265.795188015927
238,4168.693834703354
239,4073.802778041127
240,3981.071705534973
241,3890.451449942806
242,3801.8939632056126
243,3715.352290971726
244,3630.7805477010133
245,3548.133892335755
246,3467.3685045253173
247,3388.4415613920255
248,3311.3112148259115
249,3235.936569296283
250,3162.2776601683795
251,3090.2954325135906
252,3019.9517204020167
253,2951.2092266663863
254,2884.0315031266064
255,2818.3829312644543
256,2754.2287033381663
257,2691.534803926916
258,2630.2679918953827
259,2570.395782768864
260,2511.8864315095807
261,2454.7089156850307
262,2398.832919019491
263,2344.2288153199224
264,2290.867652767773
265,2238.72113856834
266,2187.761623949553
267,2137.9620895022326
268,2089.2961308540393
269,2041.7379446695297
270,1995.2623149688798
271,1949.8445997580454
272,1905.4607179632476
273,1862.0871366628678
274,1819.700858609984
275,1778.2794100389228
276,1737.8008287493758
277,1698.2436524617447
278,1659.5869074375607
279,1621.8100973589303
280,1584.8931924611138
281,1548.8166189124815
282,1513.5612484362082
283,1479.1083881682077
284,1445.439770745928
285,1412.5375446227545
286,1380.3842646028852
287,1348.962882591654
288,1318.256738556407
289,1288.2495516931342
290,1258.9254117941673
291,1230.268770812382
292,1202.2644346174134
293,1174.8975549395295
294,1148.1536214968828
295,1122.0184543019636
296,1096.4781961431854
297,1071.5193052376069
298,1047.1285480508996
299,1023.2929922807542
300,1000.0000000000002
301,977.2372209558109
302,954.9925860214358
303,933.2543007969911
304,912.0108393559099
305,891.2509381337458
306,870.9635899560809
307,851.1380382023764
308,831.7637711026711
309,812.8305161640994
310,794.3282347242817
311,776.2471166286921
312,758.5775750291839
313,741.3102413009176
314,724.4359600749902
315,707.9457843841382
316,691.8309709189367
317,676.0829753919818
318,660.6934480075961
319,645.6542290346556
320,630.9573444801935
321,616.5950018614822
322,602.5595860743578
323,588.8436553555891
324,575.4399373371571
325,562.3413251903493
326,549.5408738576245
327,537.0317963702528
328,524.8074602497727
329,512.8613839913651
330,501.18723362727246
331,489.77881936844625
332,478.63009232263846
333,467.7351412871983
334,457.0881896148752
335,446.68359215096336
336,436.515832240166
337,426.5795188015927
338,416.86938347033555
339,407.3802778041129
340,398.10717055349727
341,389.04514499428063
342,380.1893963205613
343,371.5352290971727
344,363.0780547701015
345,354.8133892335755
346,346.7368504525317
347,338.84415613920265
348,331.1311214825912
349,323.5936569296284
350,316.22776601683796
351,309.0295432513591
352,301.99517204020174
353,295.1209226666387
354,288.4031503126607
355,281.8382931264454
356,275.4228703338167
357,269.1534803926917
358,263.02679918953834
359,257.0395782768864
360,251.18864315095806
361,245.4708915685031
362,239.88329190194915
363,234.42288153199235
364,229.08676527677733
365,223.87211385683403
366,218.77616239495535
367,213.7962089502233
368,208.92961308540407
369,204.17379446695298
370,199.52623149688802
371,194.98445997580458
372,190.5460717963248
373,186.20871366628683
374,181.97008586099847
375,177.8279410038924
376,173.78008287493756
377,169.82436524617444
378,165.95869074375608
379,162.181009735893
380,158.48931924611142
381,154.8816618912482
382,151.3561248436209
383,147.91083881682084
384,144.54397707459285
385,141.25375446227542
386,138.0384264602885
387,134.89628825916537
388,131.82567385564073
389,128.82495516931343
390,125.89254117941677
391,123.02687708123821
392,120.22644346174135
393,117.48975549395304
394,114.81536214968837
395,112.20184543019634
396,109.64781961431851
397,107.15193052376067
398,104.71285480508998
399,102.32929922807546
400,100.00000000000004
401,97.72372209558112
402,95.49925860214366
403,93.32543007969917
404,91.20108393559097
405,89.12509381337455
406,87.09635899560809
407,85.11380382023768
408,83.17637711026713
409,81.28305161640996
410,79.4328234724282
411,77.62471166286922
412,75.85775750291843
413,74.13102413009182
414,72.44359600749901
415,70.7945784384138
416,69.18309709189366
417,67.6082975391982
418,66.06934480075962
419,64.56542290346559
420,63.095734448019364
421,61.65950018614826
422,60.25595860743582
423,58.8843655355589
424,57.5439937337157
425,56.234132519034915
426,54.95408738576247
427,53.70317963702529
428,52.48074602497728
429,51.28613839913651
430,50.118723362727266
431,48.97788193684465
432,47.86300923226387
433,46.77351412871982
434,45.708818961487516
435,44.668359215096324
436,43.65158322401661
437,42.65795188015929
438,41.68693834703356
439,40.738027780411294
440,39.81071705534975
441,38.90451449942809
442,38.01893963205612
443,37.15352290971726
444,36.30780547701014
445,35.481338923357555
446,34.67368504525318
447,33.884415613920275
448,33.113112148259134
449,32.359365692962854
450,31.62277660168382
451,30.902954325135934
452,30.199517204020164
453,29.512092266663863
454,28.84031503126607
455,28.183829312644548
456,27.542287033381676
457,26.915348039269173
458,26.302679918953835
459,25.703957827688658
460,25.11886431509582
461,24.5470891568503
462,23.988329190194907
463,23.442288153199225
464,22.908676527677738
465,22.387211385683408
466,21.877616239495538
467,21.379620895022335
468,20.89296130854041
469,20.41737944669531
470,19.952623149688815
471,19.498445997580458
472,19.054607179632477
473,18.62087136662868
474,18.19700858609984
475,17.782794100389236
476,17.378008287493763
477,16.982436524617455
478,16.59586907437562
479,16.218100973589316
480,15.848931924611136
481,15.488166189124815
482,15.135612484362085
483,14.79108388168208
484,14.454397707459282
485,14.125375446227551
486,13.803842646028857
487,13.489628825916547
488,13.18256738556408
489,12.882495516931352
490,12.589254117941675
491,12.302687708123818
492,12.022644346174133
493,11.748975549395302
494,11.481536214968834
495,11.220184543019641
496,10.964781961431857
497,10.715193052376073
498,10.471285480509005
499,10.232929922807541
500,10.000000000000002
501,15000.0
502,15000.0
503,15000.0
504,15000.0
505,15000.0
506,15000.0
507,15000.0
508,15000.0
509,15000.0
510,15000.0
511,15000.0
512,15000.0
513,15000.0
514,15000.0
515,15000.0
516,15000.0
517,15000.0
518,15000.0
519,15000.0
520,15000.0
521,15000.0
522,15000.0
523,15000.0
524,15000.0
525,15000.0
526,15000.0
527,15000.0
528,15000.0
529,15000.0
530,15000.0
531,15000.0
532,15000.0
533,15000.0
534,15000.0
535,15000.0
536,15000.0
537,15000.0
538,15000.0
539,15000.0
540,15000.0
541,15000.0
542,15000.0
543,15000.0
544,15000.0
545,15000.0
546,15000.0
547,15000.0
548,15000.0
549,15000.0
550,15000.0
551,15000.0
552,15000.0
553,15000.0
554,15000.0
555,15000.0
556,15000.0
557,15000.0
558,15000.0
559,15000.0
560,15000.0
561,15000.0
562,15000.0
563,15000.0
564,15000.0
565,15000.0
566,15000.0
567,15000.0
568,15000.0
569,15000.0
570,15000.0
571,15000.0
572,15000.0
573,15000.0
574,15000.0
575,15000.0
576,15000.0
577,15000.0
578,15000.0
579,15000.0
580,15000.0
581,15000.0
582,15000.0
583,15000.0
584,15000.0
585,15000.0
586,15000.0
587,15000.0
588,15000.0
589,15000.0
590,15000.0
591,15000.0
592,15000.0
593,15000.0
594,15000.0
595,15000.0
596,15000.0
597,15000.0
598,15000.0
599,15000.0
600,15000.0
